age,gender,n_trials,n_force_wrong,n_missed,bonus_payment,percent_accept_A1,percent_accept_A2,percent_accept_A3,percent_accept_A4,percent_accept_A2_A3,percent_accept_B1,percent_accept_B2,percent_accept_B3,percent_accept_B4,percent_accept_B2_B3,percent_accept_B1_min_A1,percent_accept_B2_min_A2,percent_accept_B3_min_A3,percent_accept_B4_min_A4,percent_accept_B2_B3_min_A2_A3,percent_accept_AB1,percent_accept_AB2,percent_accept_AB3,percent_accept_AB4,percent_accept_AB2_AB3,order_condition,liks,intercept,beta,learning_rate_raw,learning_rate_transformed,accept_AB_prev1,accept_AB_prev23,accept_AB_prev4,accept_A_prev1,accept_A_prev23,accept_A_prev4,accept_B_prev1,accept_B_prev23,accept_B_prev4,accept_A1_prev1,accept_A1_prev23,accept_A1_prev4,accept_A23_prev1,accept_A23_prev23,accept_A23_prev4,accept_A4_prev1,accept_A4_prev23,accept_A4_prev4,accept_B1_prev1,accept_B1_prev23,accept_B1_prev4,accept_B23_prev1,accept_B23_prev23,accept_B23_prev4,accept_B4_prev1,accept_B4_prev23,accept_B4_prev4,av_reward_est_A,av_reward_est_B,av_reward_est_both,av_reward_arithmetic_A,av_reward_arithmetic_B,av_reward_arithmetic_both
23,M,434,4,4,3.8,0.98936170212766,0,0.15,0.037037037037037,0.075,0.947368421052632,0.592592592592593,0.761904761904762,0.134020618556701,0.666666666666667,-0.0419932810750281,0.592592592592593,0.611904761904762,0.096983581519664,0.591666666666667,0.982300884955752,0.340425531914894,0.463414634146341,0.112903225806452,0.397727272727273,2,102.746250296089,0.866351740777389,0.0685582040675611,-1.52856250488332,0.0631864685946646,0.357951329937748,0.59375,0.568287037037037,0.505376344086022,0.75,0.740740740740741,0.210526315789474,0.4375,0.395833333333333,1,0.966666666666667,1,0.0384615384615385,0,0.222222222222222,0,0.0476190476190476,0,NaN,0.909090909090909,1,0.6,0.555555555555556,0.705882352941177,0.0714285714285714,0.428571428571429,0.428571428571429,10.7243961740583,4.94946106993353,7.8102750753615,7.17090297064106,4.62379492083696,5.88559306243222
32,f,480,3,2,3.8,0.980769230769231,0.96,0,0.0833333333333333,0.470588235294118,1,1,0,0,0.464285714285714,0.0192307692307693,0.04,0,-0.0833333333333333,-0.00630252100840334,0.985294117647059,0.980392156862745,0,0.0147058823529412,0.467289719626168,1,118.033192799309,0.594705760312631,0.0629732144398243,-3.25147748007299,0.000574034351519814,0.437348300970874,0.55650623885918,0.410714285714286,0.718446601941748,0.803921568627451,0.5,0.15625,0.309090909090909,0.321428571428571,1,0.972222222222222,0.923076923076923,0.513513513513513,0.833333333333333,0,0.0833333333333333,0.0833333333333333,0,1,1,1,0.363636363636364,0.444444444444444,0.514285714285714,0,0,0,8.7311979033052,8.2537335046596,8.47923779847903,11.9728980498263,10.2782843145734,11.0786427805635
37,m,409,2,5,3.9,0.989130434782609,0.9,0.818181818181818,0.0416666666666667,0.857142857142857,0.904761904761905,0.523809523809524,1,0.021978021978022,0.761904761904762,-0.0843685300207039,-0.376190476190476,0.181818181818182,-0.0196886446886447,-0.0952380952380952,0.973451327433628,0.707317073170732,0.906976744186046,0.0260869565217391,0.80952380952381,2,104.512038975043,2.35423013553555,0.0794197761796564,0.646327762018181,0.740966443869844,0.562271062271062,0.539198606271777,0.639652014652015,0.791208791208791,0.785714285714286,0.916666666666667,0.333333333333333,0.292682926829268,0.362637362637363,0.98,1,1,0.846153846153846,1,0.666666666666667,0.0666666666666667,0,0,1,1,0.866666666666667,1,0.777777777777778,0.703703703703704,0,0,0.0714285714285714,2.51224911607272,1.17977041466873,1.85455129550793,7.52414763245715,5.08381605305976,6.31962499390844
31,m,421,1,3,3.9,1,0.833333333333333,0.0454545454545455,0.136363636363636,0.456521739130435,1,0.875,1,0.043956043956044,0.948717948717949,0,0.0416666666666666,0.954545454545455,-0.0924075924075924,0.492196209587514,1,0.85,0.533333333333333,0.0619469026548673,0.682352941176471,2,84.2836875045017,0.08679677693228,0.0851519070361823,-1.99099076443931,0.0232409513018622,0.551484230055659,0.532329988851728,0.642424242424242,0.693877551020408,0.782608695652174,0.818181818181818,0.409090909090909,0.282051282051282,0.466666666666667,1,1,1,0.379310344827586,0.6,0.571428571428571,0.2,0,0,NaN,1,1,1,1,0.925925925925926,0.133333333333333,0.0666666666666667,0.0666666666666667,9.98716182481724,5.37204778239804,7.78811061965198,7.56993361582732,5.56048459307469,6.61245320373203
39,m,422,4,11,3.8,1,0.04,0.461538461538462,0,0.254901960784314,1,0.454545454545455,0.842105263157895,0.0759493670886076,0.634146341463415,0,0.414545454545455,0.380566801619433,0.0759493670886076,0.379244380679101,1,0.234042553191489,0.622222222222222,0.0588235294117647,0.423913043478261,2,80.9984296049933,0.996176209072408,0.0815522647132433,-2.00392706416768,0.0225389369640322,0.414772727272727,0.549512195121951,0.522289488167309,0.602272727272727,0.66,0.652173913043478,0.227272727272727,0.439024390243902,0.392405063291139,1,1,1,0.214285714285714,0.333333333333333,0.272727272727273,0,0,0,NaN,1,1,0.666666666666667,0.6,0.633333333333333,0.0625,0.1875,0.0625,10.0152221175486,4.73593537283832,7.54001554543852,6.98234238607859,4.70525061832964,5.91472231136351
23,m,447,2,2,3.8,0.990476190476191,0.428571428571429,0.28,0.0869565217391304,0.347826086956522,1,0.333333333333333,0.296296296296296,0,0.313725490196078,0.00952380952380949,-0.0952380952380952,0.0162962962962963,-0.0869565217391304,-0.0341005967604433,0.991935483870968,0.377777777777778,0.288461538461538,0.0175438596491228,0.329896907216495,1,87.6736000887273,1.09934651715113,0.0731411874716365,-3.36778523897292,0.000378872985594914,0.369123931623932,0.476342710997442,0.48494983277592,0.682692307692308,0.717391304347826,0.739130434782609,0.0555555555555556,0.235294117647059,0.230769230769231,1,1,0.9375,0.428571428571429,0.181818181818182,0.285714285714286,0.0555555555555556,0.0555555555555556,0,NaN,1,1,0.166666666666667,0.181818181818182,0.363636363636364,0,0,0,8.58970169424992,8.33369207625062,8.46666423604727,11.8588244907278,10.2776324310902,11.0989083068422
34,m,437,3,4,3.8,1,1,0,0,0.511627906976744,1,0.869565217391304,0.954545454545455,0.0106382978723404,0.911111111111111,0,-0.130434782608696,0.954545454545455,0.0106382978723404,0.399483204134367,1,0.933333333333333,0.488372093023256,0.00869565217391304,0.715909090909091,2,65.4218947269109,0.144862446251626,0.10453381990478,-1.8701337377813,0.0307326242335111,0.564114832535885,0.577431289640592,0.65450861195542,0.673684210526316,0.813953488372093,0.904761904761905,0.454545454545455,0.340909090909091,0.404255319148936,1,1,1,0.392857142857143,0.625,0.857142857142857,0,0,0,1,1,1,1,0.909090909090909,0.884615384615385,0.0769230769230769,0,0,9.98435779384301,5.44447726455336,7.7073460641993,7.58832029869692,5.50852882019568,6.54518500885673
55,m,427,0,4,3.8,0.990291262135922,0.96,0,0,0.452830188679245,0.9,0.909090909090909,0.888888888888889,0.0121951219512195,0.9,-0.0902912621359223,-0.0509090909090909,0.888888888888889,0.0121951219512195,0.447169811320755,0.975609756097561,0.936170212765957,0.347826086956522,0.00909090909090909,0.645161290322581,2,89.7286660031106,0.415848002833412,0.0834754542994311,-1.8981107638106,0.02884074626738,0.478921568627451,0.514858490566038,0.632936507936508,0.607843137254902,0.754716981132076,0.821428571428571,0.35,0.275,0.444444444444444,0.98,1,1,0.371428571428571,0.428571428571429,0.727272727272727,0,0,0,1,0.888888888888889,0.9,0.75,1,0.931034482758621,0,0.0909090909090909,0,10.3343228388748,5.0009446341492,8.01119490920908,7.3060193117762,4.92634062735137,6.26947215475679
34,f,363,2,7,3.8,1,0.217391304347826,0.954545454545455,0.0555555555555556,0.577777777777778,1,0.9375,1,0.0163934426229508,0.970588235294118,0,0.720108695652174,0.0454545454545454,-0.0391621129326047,0.39281045751634,1,0.512820512820513,0.975,0.0253164556962025,0.746835443037975,1,65.8612644215345,2.7183100741075,0.0947199660884228,0.812127567854247,0.791640781978558,0.626376988984088,0.496212121212121,0.706739526411658,0.779069767441861,0.659090909090909,0.888888888888889,0.473684210526316,0.333333333333333,0.524590163934426,1,1,1,0.653846153846154,0.272727272727273,0.75,0,0.1,0,1,1,1,1,0.833333333333333,1,0,0,0,1.71243993130927,0.923201354082106,1.37033651760624,11.527019944261,9.80920017724926,10.7824136574194
21,m,443,4,7,3.8,1,0.344827586206897,0.259259259259259,0.0357142857142857,0.303571428571429,1,0.956521739130435,0.777777777777778,0.0217391304347826,0.86,0,0.611694152923538,0.518518518518519,-0.0139751552795031,0.556428571428571,1,0.615384615384615,0.518518518518518,0.025,0.566037735849057,2,91.66203551405,0.713216175678905,0.082660614938681,-2.48433987511187,0.00648959325037679,0.519489247311828,0.5125,0.592185592185592,0.580645161290323,0.625,0.777777777777778,0.458333333333333,0.4,0.406593406593407,1,1,1,0.25,0.384615384615385,0.428571428571429,0,0.0833333333333333,0,NaN,1,1,1,0.909090909090909,0.777777777777778,0,0.153846153846154,0,9.27898794231026,5.51726134584321,7.45844387521542,7.41357068341097,5.53418048174289,6.50401157706432
