rank,block,order_condition,acceptance_rates,sem
HRLD,rich,all,0.981654565839491,0.000127500795238356
LRLD,rich,all,0.610305559163063,0.00120833735069199
HRHD,rich,all,0.311256002419463,0.00157348536329489
LRHD,rich,all,0.0309619014711934,0.000405009643455222
intermediate,rich,all,0.460890939987489,0.00107416330793741
HRLD,poor,all,0.987614704636481,0.000141099942098219
LRLD,poor,all,0.718350447239497,0.00124757608089874
HRHD,poor,all,0.583176159120223,0.00172481725424473
LRHD,poor,all,0.0741809164113969,0.000683841738980227
intermediate,poor,all,0.650771428661958,0.00116629741649956
HRLD,rich,richpoor,0.98250412372828,0.000178461184790635
LRLD,rich,richpoor,0.617845860813058,0.00169437157447602
HRHD,rich,richpoor,0.338986814950016,0.00213964908628148
LRHD,rich,richpoor,0.0412371397584747,0.00070922711301469
intermediate,rich,richpoor,0.478591334773332,0.00146566433936667
HRLD,poor,richpoor,0.984540549370531,0.000226557421883381
LRLD,poor,richpoor,0.680034564748974,0.0018194752524282
HRHD,poor,richpoor,0.422386842249361,0.0025676472433019
LRHD,poor,richpoor,0.0276330664680536,0.000292020244184458
intermediate,poor,richpoor,0.551222228604765,0.00166544811396117
HRLD,rich,poorrich,0.980872767895341,0.000190721938666563
LRLD,rich,poorrich,0.60339846946759,0.00172328905649581
HRHD,rich,poorrich,0.284374895458815,0.00234326592410537
LRHD,rich,poorrich,0.0208660721900731,0.00038178063738268
intermediate,rich,poorrich,0.443904803631606,0.00155444841831644
HRLD,poor,poorrich,0.990745195879174,0.000174533163679351
LRLD,poor,poorrich,0.757433293524239,0.00170798957106764
HRHD,poor,poorrich,0.744043948116548,0.00161160770302074
LRHD,poor,poorrich,0.12043725008621,0.00125248023720824
intermediate,poor,poorrich,0.750768601405315,0.00122236222196724
