sub,intercept,beta,learning_rate_reward_raw,learning_rate_reward_transformed,learning_rate_delay_raw,learning_rate_delay_transformed
1,0.491858706,0.063252883,-1.654393593,0.049023784,-1.728328881,0.041964639
3,-6.052823664,0.040987221,-1.763524872,0.038906003,-3.080800409,0.001032225
4,-0.384634717,0.081797181,-3.505695216,0.000227708,-3.554919785,0.000189047
6,-2.2013073,0.075967911,-2.085430542,0.018515118,-2.377522069,0.0087147
8,1.52162616,0.082465645,-2.039415907,0.020704268,-1.933636003,0.026578949
9,0.175432895,0.06961724,-3.121567152,0.000899456,-3.335069859,0.00042639
10,-3.614443631,0.111568886,-2.657720726,0.003933553,-3.06323593,0.001094787
12,-3.341669054,0.067764248,-1.724237626,0.042332477,-2.286262858,0.011119443
13,0.637925901,0.119742282,-3.485668149,0.000245455,-3.19956791,0.000688169
14,-1.185391255,0.082611455,-2.83767013,0.002272206,-3.149651928,0.000817325
15,-4.773061645,0.049087438,-2.967407264,0.001501614,-4.045258772,2.61E-05
16,-4.612683204,0.129905156,-2.810429811,0.002473769,-3.148610723,0.000820243
17,-1.799052148,0.027701696,-1.823057695,0.034147327,-2.658800599,0.003920968
18,-3.039485954,0.114478879,-2.339338428,0.009658963,-2.599565286,0.004667096
19,0.442077427,0.068303569,-2.840985536,0.002248718,-3.142641484,0.000837154
21,-0.755496828,0.054852515,-2.767860675,0.002821279,-3.111475424,0.000930775
23,-3.225785991,0.081255586,-2.099701331,0.017877561,-2.476797998,0.006628345
25,-2.643140333,0.090697045,-2.120978975,0.016961786,-2.639907466,0.004146433
27,-3.705572735,0.071991315,-1.721489417,0.042581025,-2.218999169,0.013243391
29,4.492349571,0.11344075,-2.399390022,0.008211206,-1.389434499,0.082350333
30,-5.898719737,0.07086434,-1.448799627,0.073696774,-2.53277056,0.00565825
31,0.276300581,0.065360259,-2.971202544,0.00148318,-3.06759902,0.00107893
32,-2.463600717,0.043067264,-2.252424617,0.012147726,-2.903149575,0.001847151
33,0.611319806,0.090598937,-3.281246855,0.000516746,-3.149535296,0.000817652
34,-1.633207833,0.07477528,-2.793759267,0.002604962,-3.221615394,0.000637351
35,0.818225564,0.064935145,-3.184395627,0.000725283,-3.467566994,0.000262596
36,-5.734935889,0.109053974,-3.270793765,0.00053623,-4.001666537,3.14E-05
37,-2.163063067,0.084315796,-2.561480188,0.005211359,-2.814323535,0.002444
39,-4.623750546,0.024211529,-2.229990263,0.012874045,-3.521166031,0.000214827
40,-1.487093963,0.054756163,-2.762703498,0.002866241,-3.071558171,0.001064723
41,0.006330072,0.07309325,-2.718869824,0.003275269,-3.162308057,0.000782619
43,-4.626872623,0.086564634,-2.245849291,0.012356831,-2.924373941,0.001725749
49,-0.072817022,0.054360656,-2.710689873,0.00335717,-2.877843596,0.002002018
50,-1.243632728,0.062675872,-1.890655102,0.0293352,-2.10880668,0.017480636
52,-3.30767003,0.086301949,-2.489495114,0.006396234,-3.007993842,0.001314892
54,-2.910903556,0.054594463,-1.93570864,0.026451698,-2.570731722,0.005074195
56,0.087556691,0.051709594,-3.141312471,0.000840962,-3.619760853,0.000147438
60,-2.055295173,0.076575352,-3.179327511,0.000738086,-3.659056385,0.000126573
61,-0.598241877,0.059450559,-2.584860525,0.00487092,-2.845929138,0.002214102
62,-2.896261113,0.103400582,-3.443913722,0.000286679,-3.801738768,7.18E-05
