sub,intercept,beta,learning_rate_reward_raw,learning_rate_reward_transformed,learning_rate_delay_raw,learning_rate_delay_transformed
1,0.649901848124849,0.07107157299159116,-2.3279910420800882,0.00995628966779849,-2.4373840926117465,0.00739697806178502
3,-5.854522905293654,0.039651989481189344,-1.6061713014097359,0.054118138545761474,-2.9791399674715513,0.0014452935230652164
4,1.2881413995153785,0.09309271693179015,-2.334347591008318,0.00978876432688991,-2.1539989228939427,0.015620128193222338
6,-1.5807885059642857,0.08268804250237863,-1.8585595098860048,0.03154480041692548,-2.097853879521235,0.01795902761624324
8,1.8195210653831422,0.09588565924370292,-2.2338800863917827,0.012745482082854864,-2.135322296919806,0.016367346426426177
9,0.43020907159637295,0.06258421327939492,-2.707002972851447,0.0033946824700902267,-2.899037819678304,0.0018715487071555015
10,-3.1449418861679312,0.10899604090682928,-1.5705673427129865,0.05814159028649285,-1.9447521970956023,0.0259024049934663
12,-3.1833762576211018,0.06398263950628733,-1.431230782030125,0.07618204209777996,-2.0478535707823093,0.020287174689985754
13,1.4796350216932603,0.1240290107211875,-2.3146940182417186,0.010314841684273601,-2.0931756656791114,0.018166738085758916
14,-0.04336540875255244,0.08758514037258772,-2.3733927181576466,0.008812756242551956,-2.532094605648419,0.0056691697474886005
15,-3.1430027837093726,0.050620068400085365,-2.8997697548290056,0.0018671842998815302,-3.6371083606440195,0.00013785797964116497
16,-2.1953745128319606,0.1301945364942397,-2.147549460327887,0.01587478200513731,-2.2895401661109127,0.011023993473010862
17,-1.9475121462845222,0.02836491064040991,-1.5406729265515695,0.061698204568775394,-2.482500475283894,0.006523194690569334
18,-1.6166227802469881,0.09370407846907247,-1.8185543166104914,0.03448972641749476,-2.048326760148541,0.020263996297334053
19,-1.1275551802723862,0.07351669101524679,-1.8342701973522435,0.033306947894063244,-2.4512593226080406,0.0071178676117999995
21,-1.3288683091172793,0.05082300939192009,-2.271634706770954,0.011554291410227346,-2.769885741426567,0.0028037980063206347
23,-2.5885640308526483,0.08926612265060814,-1.8567066300980348,0.03167645186113116,-2.172351874887946,0.014914566007068086
25,-2.151732420143721,0.09882158233288027,-1.9490703939016722,0.0256435093585054,-2.4470908981509973,0.00720072568148894
27,-3.5641758226961637,0.0761549659919909,-1.7004385939681825,0.04452422877595458,-2.1789621710374028,0.014667239276455746
29,3.3865926198635914,0.10919175121761754,-3.1951952688413954,0.000698681309617033,-2.8890014402208557,0.0019323365203617882
30,-5.706616919561995,0.06557469955051513,-1.3046493939146575,0.09600613040369477,-2.481436965117515,0.00654269260563034
31,0.7065906528836908,0.06395103576876722,-2.6182561490478955,0.0044190217201466875,-2.712581347516679,0.0033380696394289533
32,-2.3695631333692284,0.038291134674488386,-1.9030047343407333,0.028519963737305087,-2.609723715053096,0.004530768724124834
33,1.544495171935121,0.09261141345838013,-2.487141500676152,0.006438708419388983,-2.3214118283486327,0.010132313879527233
34,-1.0847753379381522,0.07383013225227765,-1.7602253658332279,0.03918480138091762,-2.043175054797522,0.020517556093172185
35,1.5208042480454764,0.06719116480536154,-2.881242073544404,0.0019805564329442027,-3.102219296528187,0.0009603780613376967
36,-2.091136023002073,0.12173510192263795,-2.9589075914063603,0.0015436583244683444,-3.0611616692684893,0.0011024000553769286
37,-1.8033922601357126,0.07594835141141233,-1.8183906683343594,0.034502221808209055,-2.0676144844746056,0.019338144477761166
39,-4.517710910046964,0.02320588544863116,-2.100181674638298,0.017856431383069526,-3.4577566181032804,0.0002723466075167935
40,-1.4820014053087698,0.048950652243758316,-2.428927773341819,0.007571774399760978,-2.8087468432863707,0.0024867369288174013
41,0.32486820878832484,0.08062342275296443,-2.1402877515064427,0.016165759617066622,-2.5209765621129576,0.005851482343867953
43,-5.048133777292192,0.03944766860999275,-1.1653616191175091,0.1219363231773023,-2.481640810938299,0.006538951400537174
49,0.11283786976288748,0.05570919991923582,-2.526100420844216,0.005766825396845254,-2.707194565801089,0.0033927238451408326
50,-0.9376733610715853,0.0640871052715349,-1.7316153695931904,0.041671033921756806,-1.9180721072252898,0.02755093433388278
52,-2.644936267301389,0.07683949592826485,-1.8965690912486335,0.028942416596276166,-2.390242403836638,0.008418627907169296
54,-2.8657650144079936,0.056948043855656175,-1.8760773840538627,0.030322327346350986,-2.515545668573944,0.005942413933743285
56,-2.1708504643009063,0.019264537316416388,-1.3885002905233632,0.0824923781808874,-2.6232818028779286,0.004354360381830791
60,-0.4037604762231402,0.07593510436935923,-2.111531423446305,0.017363329954592,-2.1830396983466405,0.01451644333183455
61,0.32488525969623655,0.0651854892280949,-2.2675645340050594,0.011677880693932996,-2.390567874383601,0.008411169699734544
62,-0.9994186906431183,0.13351952513884152,-2.477696957843156,0.0066116701594340355,-2.4710332029905135,0.006736165472022826
