age,percent_accept_A1,percent_accept_A2,percent_accept_A3,percent_accept_A4,percent_accept_A2_A3,percent_accept_B1,percent_accept_B2,percent_accept_B3,percent_accept_B4,percent_accept_B2_B3,percent_accept_B1_min_A1,percent_accept_B2_min_A2,percent_accept_B3_min_A3,percent_accept_B4_min_A4,percent_accept_B2_B3_min_A2_A3,percent_accept_AB1,percent_accept_AB2,percent_accept_AB3,percent_accept_AB4,percent_accept_AB2_AB3,order_condition,accept_AB_prev1,accept_AB_prev23,accept_AB_prev4
32,1,0,0.083333333,0,0.037037037,1,0.058823529,0.8,0.016666667,0.40625,0,0.058823529,0.716666667,0.016666667,0.369212963,1,0.03125,0.481481481,0.012658228,0.237288136,2,0.42,0.51,0.43
20,1,0.533333333,0.214285714,0.142857143,0.379310345,1,1,0.0625,0.013333333,0.516129032,0,0.466666667,-0.151785714,-0.12952381,0.136818687,1,0.766666667,0.133333333,0.033707865,0.45,1,0.42,0.51,0.53
27,1,1,0,0,0.5,1,1,0.933333333,0.037037037,0.961538462,0,0,0.933333333,0.037037037,0.461538462,1,1,0.466666667,0.029411765,0.714285714,2,0.57,0.59,0.65
29,1,1,0.5,0.181818182,0.777777778,0.866666667,1,1,0.157894737,1,-0.133333333,0,0.5,-0.023923445,0.222222222,0.96969697,1,0.76,0.161764706,0.896551724,2,0.65,0.7,0.75
45,1,0.058823529,0.1,0.1875,0.081081081,1,1,1,0.018181818,1,0,0.941176471,0.9,-0.169318182,0.918918919,1,0.466666667,0.485714286,0.056338028,0.476923077,1,0.34,0.68,0.6
42,1,1,0,0,0.457142857,1,1,0.111111111,0.014285714,0.578947368,0,0,0.111111111,0.014285714,0.121804511,1,1,0.054054054,0.011235955,0.520547945,2,0.43,0.54,0.59
31,0.970149254,0.230769231,0.529411765,0.055555556,0.4,1,1,1,0.16,1,0.029850746,0.769230769,0.470588235,0.104444444,0.6,0.975,0.615384615,0.714285714,0.132352941,0.666666667,2,0.49,0.55,0.69
44,0.986486486,0.588235294,0.058823529,0,0.323529412,1,0.769230769,0.9375,0.052631579,0.862068966,0.013513514,0.180995475,0.878676471,0.052631579,0.538539554,0.989130435,0.666666667,0.484848485,0.04,0.571428571,2,0.43,0.56,0.71
31,1,0.176470588,0.333333333,0.142857143,0.25,1,0.75,0.333333333,0.018867925,0.518518519,0,0.573529412,0,-0.123989218,0.268518519,1,0.413793103,0.333333333,0.044776119,0.372881356,1,0.42,0.5,0.55
45,0.984126984,0.294117647,0.0625,0,0.181818182,1,1,1,0.096153846,1,0.015873016,0.705882353,0.9375,0.096153846,0.818181818,0.986111111,0.586206897,0.482758621,0.071428571,0.534482759,2,0.47,0.5,0.48
26,1,0,0,0.095238095,0,0.933333333,0.533333333,0.9375,0.050847458,0.741935484,-0.066666667,0.533333333,0.9375,-0.044390638,0.741935484,0.989247312,0.266666667,0.454545455,0.0625,0.365079365,2,0.43,0.51,0.5
41,1,1,0.058823529,0,0.542857143,1,1,1,0.06122449,1,0,0,0.941176471,0.06122449,0.457142857,1,1,0.36,0.046153846,0.703703704,2,0.49,0.55,0.66
48,1,1,0.157894737,0,0.529411765,1,0.705882353,0.769230769,0,0.733333333,0,-0.294117647,0.611336032,0,0.203921569,1,0.84375,0.40625,0,0.625,2,0.52,0.5,0.62
34,1,0.176470588,0.0625,0.055555556,0.121212121,1,1,0.888888889,0.01754386,0.931034483,0,0.823529412,0.826388889,-0.038011696,0.809822362,1,0.5,0.5,0.026666667,0.5,1,0.52,0.41,0.67
25,0.980392157,1,0.846153846,0.153846154,0.92,1,1,1,0.030769231,1,0.019607843,0,0.153846154,-0.123076923,0.08,0.985294118,1,0.923076923,0.051282051,0.962264151,2,0.62,0.6,0.72
