"MturkID","AssignID","sub_no","age","gender","n_trials","n_force_wrong","n_missed","bonus_payment","percent_accept_A1","percent_accept_A2","percent_accept_A3","percent_accept_A4","percent_accept_A2_A3","percent_accept_B1","percent_accept_B2","percent_accept_B3","percent_accept_B4","percent_accept_B2_B3","percent_accept_B1_min_A1","percent_accept_B2_min_A2","percent_accept_B3_min_A3","percent_accept_B4_min_A4","percent_accept_B2_B3_min_A2_A3","percent_accept_AB1","percent_accept_AB2","percent_accept_AB3","percent_accept_AB4","percent_accept_AB2_AB3","exclude","exclude_reason","order_condition","comment"
"AA4KKLIU4C3NY","3YDGXNSEOZUCKHRBBCHD5KZ8AU0483",1,"42","male",170,6,14,2.4,0.977272727272727,1,1,1,1,1,1,1,1,1,0.0227272727272727,0,0,0,0,0.98,1,1,1,1,1,"poor behaviour",1,"It was fun and interesting.  Thank you!"
"ASPRULQHB8B1F","3YW4XOSQKQLTQF15RXZG3EAUV1HU1V",2,"32","Male",318,3,5,2.8,1,0,0.0833333333333333,0,0.037037037037037,1,0.0588235294117647,0.8,0.0166666666666667,0.40625,0,0.0588235294117647,0.716666666666667,0.0166666666666667,0.369212962962963,1,0.03125,0.481481481481481,0.0126582278481013,0.23728813559322,0,"do not exclude",2,""
"A1W8B7P1WVD7TX","3L6L49WXW0XTXZ89DEAAT0PH84Z451",3,"20","p",308,4,11,2.6,1,0.533333333333333,0.214285714285714,0.142857142857143,0.379310344827586,1,1,0.0625,0.0133333333333333,0.516129032258065,0,0.466666666666667,-0.151785714285714,-0.12952380952381,0.136818687430478,1,0.766666666666667,0.133333333333333,0.0337078651685393,0.45,0,"do not exclude",1,""
"A1XA3QOXDTGCDL","3VSOLARPKB9RGQRHGQI8VB2DG0693W",4,"27","f",276,0,0,2.7,1,1,0,0,0.5,1,1,0.933333333333333,0.037037037037037,0.961538461538462,0,0,0.933333333333333,0.037037037037037,0.461538461538462,1,1,0.466666666666667,0.0294117647058824,0.714285714285714,0,"do not exclude",2,"this was a lot of fun!!!!"
"A10QZA83T80YA3","3UXUOQ9OKEXNMS29A8ZY4NPDRK37A7",5,"29","f",266,1,2,2.7,1,1,0.5,0.181818181818182,0.777777777777778,0.866666666666667,1,1,0.157894736842105,1,-0.133333333333333,0,0.5,-0.0239234449760766,0.222222222222222,0.96969696969697,1,0.76,0.161764705882353,0.896551724137931,0,"do not exclude",2,""
"A3RQN5RZD1N2KP","3M23Y66PO278IOAY8YGXJ9JNJLCS6O",6,"45","f",291,0,1,2.8,1,0.0588235294117647,0.1,0.1875,0.0810810810810811,1,1,1,0.0181818181818182,1,0,0.941176470588235,0.9,-0.169318181818182,0.918918918918919,1,0.466666666666667,0.485714285714286,0.0563380281690141,0.476923076923077,0,"do not exclude",1,"It was a lot of fun and I'd love to do more like this."
"A2SRC38HIJ2X19","3QFUFYSY9YFLZW1YJQNJFCGUY4CF47",7,"48","f",164,5,6,2.5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,"poor behaviour",1," Towards the ends of both rounds I felt like I was getting sleepy and that's when I would miss rounds by letting go to soon. Next time I'll try drinking a cuban coffee before the hit."
"A1TMZLYXQAK8Q0","32EYX73OY09HJK0MPREV95S705BUR4",8,"42","m",332,0,1,2.8,1,1,0,0,0.457142857142857,1,1,0.111111111111111,0.0142857142857143,0.578947368421053,0,0,0.111111111111111,0.0142857142857143,0.121804511278196,1,1,0.0540540540540541,0.0112359550561798,0.520547945205479,0,"do not exclude",2,"thank you.  I think I played about as perfectly, especially in the 2nd round, as I could have except for maybe ignoring astericks if I dared, so not sure how you could get to the maximum bonus because I am not sure I made any mistakes."
"A3RBA581BHJDR8","3URFVVM165IQLBMDZ888V8U69MUZU2",9,"31","f",278,7,5,2.8,0.970149253731343,0.230769230769231,0.529411764705882,0.0555555555555556,0.4,1,1,1,0.16,1,0.0298507462686567,0.769230769230769,0.470588235294118,0.104444444444444,0.6,0.975,0.615384615384615,0.714285714285714,0.132352941176471,0.666666666666667,0,"do not exclude",2,"fun, thanks!"
"A1THCNYQ6HMSBZ","3EF8EXOTT1VKCZQBFYV2WC1JFROJ16",10,"44","m",306,4,5,2.8,0.986486486486487,0.588235294117647,0.0588235294117647,0,0.323529411764706,1,0.769230769230769,0.9375,0.0526315789473684,0.862068965517241,0.0135135135135135,0.180995475113122,0.878676470588235,0.0526315789473684,0.538539553752535,0.989130434782609,0.666666666666667,0.484848484848485,0.04,0.571428571428571,0,"do not exclude",2,"The game isn't that bad but it's definitely too long and so get a little tedious"
