sub,intercept,beta,learning_rate_raw,learning_rate_transformed
2,2.244382162,0.095759057,-2.339127934,0.009664407
3,0.738819361,0.06612995,-3.195015314,0.000699117
4,0.186153962,0.090108098,-2.053536135,0.020010304
5,0.82970567,0.048806152,0.55553659,0.710736155
6,0.652532322,0.07966504,-1.897295597,0.028894468
8,0.614489131,0.065800662,-4.085401754,2.20E-05
9,-0.05491335,0.071788965,-2.063276701,0.019543173
10,0.459763267,0.085175286,-2.022567424,0.021558883
11,0.87870366,0.071556231,-2.919458651,0.0017532
12,0.748770828,0.08132316,-2.174375232,0.014838483
13,1.023573993,0.075744655,-1.976592626,0.024043848
14,-0.441005116,0.096642197,-1.934421663,0.026530653
15,0.634945136,0.084608474,-2.040361538,0.020657165
16,0.783667042,0.08869197,-2.354614547,0.009270964
17,1.634555511,0.073426038,0.542161314,0.706146308
18,2.436306208,0.083087438,-2.242494614,0.012464712
20,1.876636977,0.070528786,-3.261888389,0.000553364
21,1.485985474,0.078656853,-2.759608816,0.002893531
22,1.684508564,0.081877159,-2.863573261,0.00209446
23,1.01802715,0.097191831,-1.842327968,0.032713596
25,0.356693082,0.044944913,1.413359704,0.921225006
28,0.607548849,0.05572341,-2.550483041,0.005378688
29,1.823623466,0.07795621,1.381078906,0.91637265
31,-0.541126733,0.08002594,-3.201804045,0.000682849
33,-0.603816851,0.086293914,-3.812602335,6.88E-05
34,0.0446035,0.069301793,-2.228624875,0.012919437
35,0.717412029,0.062493838,-2.753600971,0.002947179
36,2.487229014,0.055288613,1.13605485,0.872033195
37,1.348211154,0.073483276,-2.814253119,0.002444536
39,-0.119351198,0.073822229,-2.740938218,0.003063201
41,1.12501731,0.062560636,-3.620877703,0.000146803
42,0.360814148,0.059614265,-3.482454509,0.00024842
43,1.075704353,0.084242999,-1.712678551,0.043385847
44,0.770984585,0.065206872,0.389354591,0.651493071
45,0.13595676,0.059296054,-3.005134175,0.001327319
47,0.129438339,0.082872988,-2.018340949,0.021777882
53,1.279712239,0.073160256,-1.625388398,0.052039913
55,1.648719356,0.074163965,0.824912978,0.795289501
