age,gender,n_trials,n_force_wrong,n_missed,bonus_payment,percent_accept_A1,percent_accept_A2,percent_accept_A3,percent_accept_A4,percent_accept_A2_A3,percent_accept_B1,percent_accept_B2,percent_accept_B3,percent_accept_B4,percent_accept_B2_B3,percent_accept_B1_min_A1,percent_accept_B2_min_A2,percent_accept_B3_min_A3,percent_accept_B4_min_A4,percent_accept_B2_B3_min_A2_A3,percent_accept_AB1,percent_accept_AB2,percent_accept_AB3,percent_accept_AB4,percent_accept_AB2_AB3,order_condition,liks,intercept,beta,learning_rate_raw,learning_rate_transformed
32,Male,318,3,5,2.8,1.0,0.0,0.0833333333333333,0.0,0.037037037037037,1.0,0.0588235294117647,0.8,0.0166666666666667,0.40625,0.0,0.0588235294117647,0.716666666666667,0.0166666666666667,0.369212962962963,1.0,0.03125,0.481481481481481,0.0126582278481013,0.23728813559322,2,32.6482190186998,2.2443821617573514,0.09575905720022945,-2.339127933980797,0.00966440668751023
20,p,308,4,11,2.6,1.0,0.533333333333333,0.214285714285714,0.142857142857143,0.379310344827586,1.0,1.0,0.0625,0.0133333333333333,0.516129032258065,0.0,0.466666666666667,-0.151785714285714,-0.12952380952381,0.136818687430478,1.0,0.766666666666667,0.133333333333333,0.0337078651685393,0.45,1,71.07925181612362,0.7388193613524972,0.06612995017105865,-3.195015313512047,0.0006991171065989787
27,f,276,0,0,2.7,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.933333333333333,0.037037037037037,0.961538461538462,0.0,0.0,0.933333333333333,0.037037037037037,0.461538461538462,1.0,1.0,0.466666666666667,0.0294117647058824,0.714285714285714,2,47.42092347647926,0.1861539620305843,0.09010809836420147,-2.053536134700698,0.020010304465169215
29,f,266,1,2,2.7,1.0,1.0,0.5,0.181818181818182,0.777777777777778,0.866666666666667,1.0,1.0,0.157894736842105,1.0,-0.133333333333333,0.0,0.5,-0.0239234449760766,0.222222222222222,0.96969696969697,1.0,0.76,0.161764705882353,0.896551724137931,2,99.1424603181939,0.8297056696940334,0.048806151669693446,0.5555365904880029,0.7107361552014154
45,f,291,0,1,2.8,1.0,0.0588235294117647,0.1,0.1875,0.0810810810810811,1.0,1.0,1.0,0.0181818181818182,1.0,0.0,0.941176470588235,0.9,-0.169318181818182,0.918918918918919,1.0,0.466666666666667,0.485714285714286,0.0563380281690141,0.476923076923077,1,56.989987726367815,0.6525323219103749,0.07966503965002558,-1.8972955974043992,0.02889446786600952
42,m,332,0,1,2.8,1.0,1.0,0.0,0.0,0.457142857142857,1.0,1.0,0.111111111111111,0.0142857142857143,0.578947368421053,0.0,0.0,0.111111111111111,0.0142857142857143,0.121804511278196,1.0,1.0,0.0540540540540541,0.0112359550561798,0.520547945205479,2,81.53885364165355,0.614489131457768,0.06580066202867701,-4.08540175385269,2.2000307945468922e-5
31,f,278,7,5,2.8,0.970149253731343,0.230769230769231,0.529411764705882,0.0555555555555556,0.4,1.0,1.0,1.0,0.16,1.0,0.0298507462686567,0.769230769230769,0.470588235294118,0.104444444444444,0.6,0.975,0.615384615384615,0.714285714285714,0.132352941176471,0.666666666666667,2,64.40514611957359,-0.05491334965682922,0.07178896482445114,-2.0632767006783843,0.019543173210727516
44,m,306,4,5,2.8,0.986486486486487,0.588235294117647,0.0588235294117647,0.0,0.323529411764706,1.0,0.769230769230769,0.9375,0.0526315789473684,0.862068965517241,0.0135135135135135,0.180995475113122,0.878676470588235,0.0526315789473684,0.538539553752535,0.989130434782609,0.666666666666667,0.484848484848485,0.04,0.571428571428571,2,53.77003357512405,0.4597632670320942,0.08517528595409536,-2.0225674242122693,0.021558882800826462
31,m,278,1,4,2.6,1.0,0.176470588235294,0.333333333333333,0.142857142857143,0.25,1.0,0.75,0.333333333333333,0.0188679245283019,0.518518518518518,0.0,0.573529411764706,0.0,-0.123989218328841,0.268518518518518,1.0,0.413793103448276,0.333333333333333,0.0447761194029851,0.372881355932203,1,59.74846137065319,0.8787036603303119,0.0715562305668859,-2.9194586514986596,0.0017531995369799436
45,f,264,3,16,2.6,0.984126984126984,0.294117647058824,0.0625,0.0,0.181818181818182,1.0,1.0,1.0,0.0961538461538462,1.0,0.0158730158730159,0.705882352941176,0.9375,0.0961538461538462,0.818181818181818,0.986111111111111,0.586206896551724,0.482758620689655,0.0714285714285714,0.53448275862069,2,54.85347808554113,0.748770827625596,0.08132316048011082,-2.1743752317414025,0.014838483318654283
26,m,306,2,2,2.8,1.0,0.0,0.0,0.0952380952380952,0.0,0.933333333333333,0.533333333333333,0.9375,0.0508474576271186,0.741935483870968,-0.0666666666666667,0.533333333333333,0.9375,-0.0443906376109766,0.741935483870968,0.989247311827957,0.266666666666667,0.454545454545455,0.0625,0.365079365079365,2,60.48283788423451,1.0235739927505547,0.07574465469294818,-1.9765926263084117,0.02404384815782723
41,m,257,0,0,2.7,1.0,1.0,0.0588235294117647,0.0,0.542857142857143,1.0,1.0,1.0,0.0612244897959184,1.0,0.0,0.0,0.941176470588235,0.0612244897959184,0.457142857142857,1.0,1.0,0.36,0.0461538461538462,0.703703703703704,2,42.709643044663856,-0.44100511594800973,0.09664219739990743,-1.9344216628380058,0.02653065255730469
