rank,block,order_condition,acceptance_rates,sem
HRLD,rich,all,0.978097204567797,0.000141773103773931
LRLD,rich,all,0.538320097906937,0.00133538302056037
HRHD,rich,all,0.273210639394701,0.00141909746638373
LRHD,rich,all,0.0410812503778397,0.000595927355856065
intermediate,rich,all,0.405807061462759,0.00108670499115009
HRLD,poor,all,0.986423816805188,0.000152616178555808
LRLD,poor,all,0.665791515969862,0.00129581542214248
HRHD,poor,all,0.620417069217494,0.00155065851361589
LRHD,poor,all,0.0886272952126513,0.000708560759409056
intermediate,poor,all,0.64299246830235,0.00107841937826273
HRLD,rich,richpoor,0.978410419622875,0.000201137491316976
LRLD,rich,richpoor,0.550069151041966,0.0019533107780009
HRHD,rich,richpoor,0.309837160312309,0.00201526999808055
LRHD,rich,richpoor,0.047671164723854,0.000856446221457397
intermediate,rich,richpoor,0.430117951388585,0.0016204336148865
HRLD,poor,richpoor,0.984297488097083,0.000228815829235131
LRLD,poor,richpoor,0.624878253512765,0.00176209238056275
HRHD,poor,richpoor,0.463135781343158,0.00239058184629167
LRHD,poor,richpoor,0.0580451068214779,0.000910690662498709
intermediate,poor,richpoor,0.543854477803047,0.00144774965725201
HRLD,rich,poorrich,0.977727156978915,0.000204472235289478
LRLD,rich,poorrich,0.526445383756202,0.00188321419617844
HRHD,rich,poorrich,0.236829266718943,0.00196967129326886
LRHD,rich,poorrich,0.0345383867146738,0.000840000929365576
intermediate,rich,poorrich,0.38157034396124,0.00146090092722787
HRLD,poor,poorrich,0.988556342664546,0.000200203290806208
LRLD,poor,poorrich,0.706233381891559,0.00185390620484376
HRHD,poor,poorrich,0.777571236165609,0.00142075647396056
LRHD,poor,poorrich,0.119113687531842,0.00105547361508162
intermediate,poor,poorrich,0.741833553862518,0.00126405142170589
