sub,intercept,beta,learning_rate_raw_pos,learning_rate_raw_neg
2,1.589697507280348,0.1046008178584963,-2.5952387620842283,-2.7455920181057385
3,0.0308963288448782,0.06403052280911596,-2.907291960540479,-3.4397683543283444
4,-4.385533224539952,0.10169671749445652,-2.207846328572563,-2.6681810178297223
5,-2.338388936654855,0.06250757637279684,-2.7659990319024432,-3.302435885333473
6,-0.31628333345916687,0.07998362094404379,-2.2038955042865913,-2.361353698784221
8,-5.557704850301302,0.053698034934406544,-1.3436285545781346,-2.6100417033522194
9,-1.2157461138111205,0.059804836262348934,-2.71066938412927,-2.98906221862038
10,-1.292969707507233,0.07928280273550364,-2.121954510657996,-2.3772192172767945
11,-0.3049340185956726,0.07136614435099632,-2.761110674605136,-3.389360838739326
12,-2.3492409688159004,0.0786446374545627,-2.254603733487283,-2.7296949828624135
13,0.48710721526451894,0.07281229856242491,-2.352370803168514,-2.4448568089136575
14,-4.2967209852362975,0.10083705987856074,-2.0193567347174537,-2.411756941755886
15,-0.8695548029925088,0.08533435365558921,-2.858380291445749,-3.338343453816217
16,-0.8437594210398496,0.09177862924084577,-2.384466152221858,-2.6422093891334892
17,-2.4742817833567594,0.09526557542353906,-2.9623668473714595,-3.4282532428093098
18,1.5705004372945637,0.08518490962752819,-2.608183118766798,-2.789949039148326
20,1.2775529667096472,0.06829541554404894,-2.9718490821845966,-3.598163377994878
21,1.5318903010723308,0.0800843675091767,-2.8782315374764336,-2.9499341253107594
22,2.1478495729564258,0.08278140991203758,-3.1157709047003865,-3.032032585572414
23,-1.0688816756237856,0.1083455285598142,-1.9387511102700066,-2.21981900376513
25,-1.3976717998261095,0.03257179521542852,-3.254223159009332,-3.125196317313352
28,0.11775392342056154,0.0517015646814338,-2.7357698074105787,-2.9315460224063297
29,-2.0640928477300995,0.08166954730995474,-3.440395207673791,-3.447419471429666
31,-0.9471757398592208,0.08303997802632913,-3.0715399282925357,-3.258921400553885
33,-2.151366835238392,0.1000295732217937,-2.9462455993193606,-3.3411060564931594
34,-2.3139882979447184,0.061501722823277025,-2.54461891417672,-3.0923367224739633
35,0.8292067335246194,0.06298663943603829,-2.8365846909636057,-2.822472928274944
36,0.2500448122755882,0.05821555684401638,-3.2909506455846613,-3.5755051728976386
37,0.017139579444927975,0.07659189192873639,-2.448083185330163,-2.819142820506261
39,-2.7261066494814985,0.08407503548032166,-2.810531108076535,-3.579163591766709
41,0.7725817039099934,0.059569526862794125,-3.0903273173372545,-3.45149778061716
42,-1.6952438344313467,0.05961201545058955,-2.582239082715262,-3.6286767027700644
43,-1.8579409365877815,0.08677456553010271,-2.1235479060133997,-2.5743629628820863
44,-3.5021638899024112,0.08773125613861985,-2.827572514799805,-3.507909060591836
45,-0.5643958919841562,0.056121207639751265,-2.9207819322870447,-3.47311186976543
47,-2.239893854454458,0.0846493158437109,-2.366287888077661,-2.732528693038593
53,-1.760487618487445,0.07739780480800505,-2.107685401938344,-2.6920244040511614
55,-1.7972451558154852,0.08395337057801783,-3.1439726511248995,-3.502783412946723
