age,percent_accept_A1,percent_accept_A2,percent_accept_A3,percent_accept_A4,percent_accept_A2_A3,percent_accept_B1,percent_accept_B2,percent_accept_B3,percent_accept_B4,percent_accept_B2_B3,percent_accept_B1_min_A1,percent_accept_B2_min_A2,percent_accept_B3_min_A3,percent_accept_B4_min_A4,percent_accept_B2_B3_min_A2_A3,order_condition,accept_AB_prev1,accept_AB_prev23,accept_AB_prev4
30,1,0.071428571,0.117647059,0,0.096774194,1,0.857142857,1,0.022727273,0.9375,0,0.785714286,0.882352941,0.022727273,0.840725806,1,0.530791789,0.463709677,0.604545455
40,1,0,1,0.111111111,0.45,0.785714286,0.166666667,1,0.037735849,0.583333333,-0.214285714,0.166666667,0,-0.073375262,0.133333333,2,0.417293233,0.435307018,0.561965812
30,1,0.235294118,0.117647059,0.05,0.176470588,1,0.733333333,0.647058824,0,0.6875,0,0.498039216,0.529411765,-0.05,0.511029412,1,0.379710145,0.506433824,0.578098472
29,0.987012987,0.95,0.052631579,0,0.512820513,0.933333333,0.944444444,0.8,0.016666667,0.878787879,-0.053679654,-0.005555556,0.747368421,0.016666667,0.365967366,2,0.503463203,0.589712919,0.462146893
42,1,0.428571429,0.882352941,0.25,0.677419355,0.933333333,0.785714286,0.933333333,0.017241379,0.862068966,-0.066666667,0.357142857,0.050980392,-0.232758621,0.184649611,1,0.487684729,0.606785317,0.692887931
36,0.985507246,0.071428571,0,0,0.03125,1,0.4,0.785714286,0.016129032,0.586206897,0.014492754,0.328571429,0.785714286,0.016129032,0.554956897,2,0.43872549,0.517857143,0.422456576
42,0.985074627,0.375,0.071428571,0,0.233333333,0.933333333,0.882352941,0.909090909,0.036363636,0.892857143,-0.051741294,0.507352941,0.837662338,0.036363636,0.65952381,2,0.409452736,0.516666667,0.643434343
28,0.963855422,0.043478261,0.047619048,0,0.045454545,1,0.692307692,0.846153846,0,0.769230769,0.036144578,0.648829431,0.798534799,0,0.723776224,1,0.473321859,0.497209302,0.458333333
38,1,0.611111111,0.157894737,0,0.378378378,1,1,1,0.054545455,1,0,0.388888889,0.842105263,0.054545455,0.621621622,2,0.574353448,0.554520037,0.647402597
35,0.985915493,1,0.055555556,0.055555556,0.5,1,0.684210526,0.470588235,0.027777778,0.583333333,0.014084507,-0.315789474,0.41503268,-0.027777778,0.083333333,2,0.457142857,0.507352941,0.690140845
34,1,0.454545455,0.05,0.052631579,0.261904762,1,0.75,0.105263158,0,0.435897436,0,0.295454545,0.055263158,-0.052631579,0.173992674,1,0.333333333,0.459899749,0.50259909
21,1,0.35,0.066666667,0,0.228571429,0.923076923,1,0.75,0.1,0.892857143,-0.076923077,0.65,0.683333333,0.1,0.664285714,2,0.535117057,0.458201058,0.594607843
31,0.982142857,0.333333333,0.153846154,0.416666667,0.258064516,1,0.0625,0.8,0.076923077,0.419354839,0.017857143,-0.270833333,0.646153846,-0.33974359,0.161290323,1,0.49702381,0.54516129,0.396153846
26,1,0.333333333,0.25,0.071428571,0.290322581,1,0.909090909,0.928571429,0.018518519,0.92,0,0.575757576,0.678571429,-0.052910053,0.629677419,1,0.504329004,0.532930108,0.552910053
37,1,0.157894737,0.0625,0.045454545,0.114285714,1,0.941176471,0.055555556,0,0.485714286,0,0.783281734,-0.006944444,-0.045454545,0.371428571,1,0.446376812,0.428571429,0.520658263
