MturkID,AssignID,sub_no,age,gender,n_trials,n_force_wrong,n_missed,bonus_payment,percent_accept_A1,percent_accept_A2,percent_accept_A3,percent_accept_A4,percent_accept_A2_A3,percent_accept_B1,percent_accept_B2,percent_accept_B3,percent_accept_B4,percent_accept_B2_B3,percent_accept_B1_min_A1,percent_accept_B2_min_A2,percent_accept_B3_min_A3,percent_accept_B4_min_A4,percent_accept_B2_B3_min_A2_A3,percent_accept_AB1,percent_accept_AB2,percent_accept_AB3,percent_accept_AB4,percent_accept_AB2_AB3,exclude,exclude_reason,order_condition,comment
A3VE8U98QF4FVV,3RSDURM96AM9RPFMDMRKDJZ2IHMEYS,1,30,m,284,1,1,2.7,1,0.071428571,0.117647059,0,0.096774194,1,0.857142857,1,0.022727273,0.9375,0,0.785714286,0.882352941,0.022727273,0.840725806,1,0.333333333,0.423076923,0.225,0.382978723,0,do not exclude,1,Everything went fine and I didn't have any problems and the game was fun.
A2LI0QVPKA5CG8,3HQUKB7LNFEZP4GZTNV2CM1CN34HHM,2,40,f,255,1,1,2.4,1,0,1,0.111111111,0.45,0.785714286,0.166666667,1,0.037735849,0.583333333,-0.214285714,0.166666667,0,-0.073375262,0.133333333,0.942307692,0.086956522,1,0.108433735,0.522727273,0,do not exclude,2,A great game that was extremely fun! Thank you!
AMYZ8WZD19W29,39ZSFO5CA8W0LWH9HM5M7E6HU3AJUU,3,30,m,333,2,4,2.8,1,0.235294118,0.117647059,0.05,0.176470588,1,0.733333333,0.647058824,0,0.6875,0,0.498039216,0.529411765,-0.05,0.511029412,1,0.46875,0.382352941,0.19047619,0.424242424,0,do not exclude,1,I feel like the red asterisk was there to annoy me.
AYNWXFK66TKOZ,3TPWUS5F891Q5M082U312YEJPZCCW8,4,29,f,350,5,8,2.8,0.987012987,0.95,0.052631579,0,0.512820513,0.933333333,0.944444444,0.8,0.016666667,0.878787879,-0.053679654,-0.005555556,0.747368421,0.016666667,0.365967366,0.97826087,0.947368421,0.382352941,0.178217822,0.680555556,0,do not exclude,2,"Overall a fun activity, curious about what the study is about. "
A1HKCTDOTL6C9I,37XITHEISW9LXQJM30TVFZ62XKXCR5,5,42,m,301,0,4,2.8,1,0.428571429,0.882352941,0.25,0.677419355,0.933333333,0.785714286,0.933333333,0.017241379,0.862068966,-0.066666667,0.357142857,0.050980392,-0.232758621,0.184649611,0.986486486,0.607142857,0.90625,0.244680851,0.766666667,0,do not exclude,1,Thank you.
A3T9C1USL4V4IJ,3FUI0JHJPXY51O21ZHHY4YZSLT533V,6,36,male,321,2,12,2.7,0.985507246,0.071428571,0,0,0.03125,1,0.4,0.785714286,0.016129032,0.586206897,0.014492754,0.328571429,0.785714286,0.016129032,0.554956897,0.988095238,0.24137931,0.34375,0.158415842,0.295081967,0,do not exclude,2,
A1UKAS30R0MFI6,3NGI5ARFTT5GYAT9AB0MT8NWS5IP10,7,25,m,209,1,5,2.5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,poor behaviour,1,worked very well
A22QD6M0A2C77C,3AQF3RZ558IZEJ5C2EGYCA09YABF6L,8,45,m,339,15,19,2.5,0.98,0.6875,0.357142857,0,0.533333333,0.846153846,0.555555556,0.166666667,0.044776119,0.361111111,-0.133846154,-0.131944444,-0.19047619,0.044776119,-0.172222222,0.952380952,0.617647059,0.25,0.048076923,0.439393939,1,>9 wrong force,2,Nothing to add
A3CWEIEY3TGJFX,30JNVC0OR9KC2XF2CDIWL0TDEQ1HQJ,9,42,m,327,4,2,2.8,0.985074627,0.375,0.071428571,0,0.233333333,0.933333333,0.882352941,0.909090909,0.036363636,0.892857143,-0.051741294,0.507352941,0.837662338,0.036363636,0.65952381,0.975609756,0.636363636,0.44,0.135416667,0.551724138,0,do not exclude,2,a bit too long for the pay and could be more interesting with sound effects.
A230GPTWWF3SE7,3OVR4I9USPJIQLR7X6YDRBK99LE4QJ,10,26,F,133,3,11,NA,1,0.545454545,0.4,0.272727273,0.461538462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.545454545,0.4,0.272727273,0.461538462,1,failed to finish,1,NaN
AHIJACUG7ZL9B,3CPLWGV3MOZYKUKRY92N4P0KQ259NX,11,28,m,344,2,2,2.8,0.963855422,0.043478261,0.047619048,0,0.045454545,1,0.692307692,0.846153846,0,0.769230769,0.036144578,0.648829431,0.798534799,0,0.723776224,0.969072165,0.277777778,0.352941176,0.031578947,0.314285714,0,do not exclude,1,
A3095ABT1L25QK,3YMTUJH0DSGVI1JZEAS8WGVWTSD4TX,12,38,m,322,1,1,2.8,1,0.611111111,0.157894737,0,0.378378378,1,1,1,0.054545455,1,0,0.388888889,0.842105263,0.054545455,0.621621622,1,0.75862069,0.567567568,0.139784946,0.651515152,0,do not exclude,2,The game was fun to play.
A17F06M11XQX6S,30MVJZJNHMD214T6JBAVBIJ3HI39JW,13,35,Male,343,2,5,2.8,0.985915493,1,0.055555556,0.055555556,0.5,1,0.684210526,0.470588235,0.027777778,0.583333333,0.014084507,-0.315789474,0.41503268,-0.027777778,0.083333333,0.989010989,0.828571429,0.257142857,0.160714286,0.542857143,0,do not exclude,2,This was pretty fun but kinda long.
AH00EJ6PK1H3A,3AAPLD8UCCHPUD7UTHCRQ540YXZHTW,14,34,m,387,2,3,2.7,1,0.454545455,0.05,0.052631579,0.261904762,1,0.75,0.105263158,0,0.435897436,0,0.295454545,0.055263158,-0.052631579,0.173992674,1,0.595238095,0.076923077,0.172131148,0.345679012,0,do not exclude,1,I had fun. Thanks. 
A29NA4283YJ26D,3R0T90IZ1SCU80A8NPZJGVSVVBPCGC,15,35,Male,248,19,25,2.5,1,0.909090909,1,0.916666667,0.952380952,0.727272727,0.857142857,0.7,0.108108108,0.791666667,-0.272727273,-0.051948052,-0.3,-0.808558559,-0.160714286,0.942307692,0.88,0.85,0.485714286,0.866666667,1,>19 missed,2,Good luck for your study.
ABI1EI8UQK6LK,3P4RDNWND56VC5M9N5G8OBI608QIJO,16,61,f,267,5,26,2.6,1,0.636363636,0.666666667,0.090909091,0.65,1,0.25,0.833333333,0.204545455,0.541666667,0,-0.386363636,0.166666667,0.113636364,-0.108333333,1,0.434782609,0.761904762,0.302631579,0.590909091,1,>19 missed,2,"rounds one and three were fun! round 2, tedious. :) thank you!"
A37X34Z4YCX56Z,382M9COHEHFSAGVH3LUVAYTPPVEEU4,17,21,f,332,1,1,2.8,1,0.35,0.066666667,0,0.228571429,0.923076923,1,0.75,0.1,0.892857143,-0.076923077,0.65,0.683333333,0.1,0.664285714,0.987951807,0.638888889,0.37037037,0.206185567,0.523809524,0,do not exclude,2,My only real comment is that it would have been nice if one could change their initial response--so long as the invader had yet to enter the target--in the chance that the wrong side was selected by mistake.
A3FHPIYGA20PBN,38F71OA9GTW13MQ4PUNF16XVOAQMF2,18,31,m,313,6,13,2.6,0.982142857,0.333333333,0.153846154,0.416666667,0.258064516,1,0.0625,0.8,0.076923077,0.419354839,0.017857143,-0.270833333,0.646153846,-0.33974359,0.161290323,0.986111111,0.205882353,0.5,0.267326733,0.338709677,0,do not exclude,1,"it was interesting and fun, id be interested in doing more hits like this"
AWYAVVEVO3O6M,3RSDURM96AM9RPFMDMRKDJZ2LJPEY2,19,26,m,307,4,4,2.8,1,0.333333333,0.25,0.071428571,0.290322581,1,0.909090909,0.928571429,0.018518519,0.92,0,0.575757576,0.678571429,-0.052910053,0.629677419,1,0.576923077,0.566666667,0.247311828,0.571428571,0,do not exclude,1,"I have not really much to say. Everything is well explained so it is a study easy to follow- I just did not like the fact that I had to start the quizz every time I missed one of the questions :) You could at least accept 8 in 9, for instance. But it&#180;s your call of course."
AOAZMLP27GD81,3I7DHKZYGN03VF5YXV6TK4M92F0F55,20,37,m,367,4,4,2.8,1,0.157894737,0.0625,0.045454545,0.114285714,1,0.941176471,0.055555556,0,0.485714286,0,0.783281734,-0.006944444,-0.045454545,0.371428571,1,0.527777778,0.058823529,0.154545455,0.3,0,do not exclude,1,"It's really easy to accidentally click wrong on the fast paced areas and end up missing a red asterick, even if you're paying attention. It made me really tense during the last third of the game"
A1TLQ6BTDQX7US,386PBUZZXFXX26UF88DLGRAYHCHLJ2,21,38,f,268,8,10,2.6,1,1,1,0,1,0.8125,0.916666667,1,0.058823529,0.956521739,-0.1875,-0.083333333,0,0.058823529,-0.043478261,0.953125,0.961538462,1,0.235294118,0.98,0,do not exclude,2,This was very fun and exciting experiment! I really had to concentrate and make the right decisions.
A3FDQJMLPJ2YVJ,3KRVW3HTZNLA7RVQVENE85GAD0KMSL,22,27,m,286,1,2,2.8,1,0.642857143,0.8,0.5,0.724137931,0.928571429,0.916666667,1,0.016949153,0.962962963,-0.071428571,0.273809524,0.2,-0.483050847,0.238825032,0.985074627,0.769230769,0.9,0.302083333,0.839285714,0,do not exclude,1,"I don't know if it's intended for it not to be there, but it could be helpful to have trackers for how much fuel you have and how many mistakes you've made."
A198QA1OQBUJV1,3OS4RQUCR9F5KVM7Y5X6NQM1CCWFBI,23,26,m,258,21,26,2.5,0.92,0,0.857142857,0,0.461538462,1,0.444444444,0.777777778,0.451612903,0.611111111,0.08,0.444444444,-0.079365079,0.451612903,0.14957265,0.933333333,0.19047619,0.826086957,0.205479452,0.522727273,1,>19 missed,2,Nothing
A1V1JNPU0KOA3X,31T4R4OBOSGBF7Z7UMVPAIF2W837C1,24,51,m,337,0,7,2.8,0.985507246,0.117647059,0.157894737,0.058823529,0.138888889,0.9375,0.875,0.846153846,0.066666667,0.862068966,-0.048007246,0.757352941,0.688259109,0.007843137,0.723180077,0.976470588,0.484848485,0.4375,0.076190476,0.461538462,0,do not exclude,2,The experiment was interesting and entertaining. I liked catching the good spaceships and avoiding the others. 
A2LC2DS8OH7NCA,33TIN5LC04ASWTO55BBYL5YRUM99YN,25,42,m,175,5,9,NA,1,0.9375,0.35,0.066666667,0.611111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.9375,0.35,0.352941176,0.611111111,1,failed to finish,1,NaN
A209H73TTW9F87,3M68NM076H7WH9ALT9GSTZES1YMR6S,26,47,female,175,4,13,NA,0.961538462,0.6,0.3125,0.076923077,0.451612903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.961538462,0.6,0.3125,0.555555556,0.451612903,1,failed to finish,1,NaN
A2S8ZTPKX3B928,3CFJTT4SXTQ2SAL7MWRBLLDX9DN7I3,27,25,f,203,2,9,2.5,1,1,1,1,1,0.875,1,1,1,1,-0.125,0,0,0,0,0.97826087,1,1,1,1,1,poor behaviour,2,
A14WLAP6TCEKO0,3YZ8UPK3VTMDDIB37UO0KATM4J1CU9,28,34,m,338,1,3,2.8,1,0.8125,0.214285714,0,0.533333333,1,0.875,1,0.028985507,0.9375,0,0.0625,0.785714286,0.028985507,0.404166667,1,0.84375,0.633333333,0.036036036,0.741935484,0,do not exclude,2,it was a fun game
A3QJ14Y7N8VQ42,3LRKMWOKB5HH1ZDBGOY2PPZFUB0Z2B,29,29,m,284,4,10,2.6,0.945454545,0.133333333,0.454545455,0.333333333,0.269230769,0.7,0.666666667,0.857142857,0.20754717,0.769230769,-0.245454545,0.533333333,0.402597403,-0.125786164,0.5,0.907692308,0.37037037,0.68,0.390804598,0.519230769,0,do not exclude,1,I really enjoyed the experiment and would love to participate in any future experiments conducted by you
A1WL3NZ50YEOWP,3QXNC7EIPIVVZYSKX30PTD47IAS09D,30,32,p,207,1,6,2.6,1,1,0.916666667,1,0.95,1,1,1,1,1,0,0,0.083333333,0,0.05,1,1,0.952380952,1,0.973684211,1,poor behaviour,2,"Ok, you need to pay a LOT more for all the time and effort and energy that this takes to complete. IT also counts as a miss if you accidentally click another key. It sure as fuck should not. But, pay more. This was a waste of my time."
AM2KK02JXXW48,3S06PH7KSR479DQJ529RTE67ENJD1G,31,40,m,230,2,3,2.4,1,1,0.4,0,0.647058824,1,1,1,0.070175439,1,0,0,0.6,0.070175439,0.352941176,1,1,0.727272727,0.19047619,0.857142857,0,do not exclude,2,I used to play space invaders in the 1980's!  Good luck!
A187VXD4ETY6M2,3ZPPDN2SLVWUQO7E5AZ4E26BCB3E9E,32,33,f,367,4,5,2.8,0.972222222,0.333333333,0.058823529,0.090909091,0.2,1,0.692307692,0,0.013888889,0.310344828,0.027777778,0.358974359,-0.058823529,-0.077020202,0.110344828,0.977777778,0.483870968,0.03030303,0.146551724,0.25,0,do not exclude,1,"thanks for letting me play, please do more like this :)"
A3C1U769G160ZE,3NJM2BJS4W60LD37Q8P6A46NW4HPC2,33,39,Female,137,1,3,NA,NA,NA,NA,NA,NA,1,0.333333333,1,0.037037037,0.615384615,NA,NA,NA,NA,NA,1,0.333333333,1,0.037037037,0.615384615,1,failed to finish,2,NaN
A49HPQ9P5AHU4,3R2PKQ87NW8LDDSUQ2T043AN44VIM6,34,46,m,323,2,2,2.8,1,0.1,0.0625,0,0.083333333,1,1,1,0.019607843,1,0,0.9,0.9375,0.019607843,0.916666667,1,0.470588235,0.482758621,0.215053763,0.476190476,0,do not exclude,2,Should have been a higher paying HIT for the amount of focus it required.
AHLS6AZ1VTNH7,37W3JXSD66838P1DYMLQZP62SP9WYJ,35,27,m,202,1,13,2.5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,poor behaviour,2,good.
A3ET9X8TXMGXDI,3NJM2BJS4W60LD37Q8P6A46NW4LCPT,36,56,female,106,3,4,NA,0.936170213,0.785714286,0.928571429,0.846153846,0.857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.936170213,0.785714286,0.928571429,0.846153846,0.857142857,1,failed to finish,1,NaN
A1P47Q6LZPLQ6P,3PMBY0YE273FTQN09JT9OE68R0XC9S,37,27,m,360,3,3,2.8,1,1,0.428571429,0.058823529,0.724137931,1,1,0.5,0,0.787878788,0,0,0.071428571,-0.058823529,0.063740857,1,1,0.464285714,0.008130081,0.758064516,0,do not exclude,1,"Tiresome, but hope my results are worthwhile."
A2Y2RVQO2UVFV1,3I2PTA7R3TU34NGAIYLTYS9569JQKE,38,34,female,97,1,15,NA,0.948717949,0.875,0.9,1,0.888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.948717949,0.875,0.9,1,0.888888889,1,failed to finish,1,NaN
AEY67OL8UKB,3TXD01ZLD4HAIEYOEFII1CHYC81U4Z,39,28,m,228,10,13,2.4,0.975,1,1,1,1,1,0.444444444,0.5,0.358974359,0.473684211,0.025,-0.555555556,-0.5,-0.641025641,-0.526315789,0.980392157,0.736842105,0.75,0.558823529,0.743589744,1,>9 wrong force,1,Nice
AKJ22H1NTVIQX,31Z0PCVWUKFS1O1IG8QFZSF6KV3T78,40,54,Male,143,5,4,NA,0.962962963,0.7,1,0.727272727,0.857142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.962962963,0.7,1,0.575757576,0.857142857,1,failed to finish,1,NaN
A2W8ZODKKQ7RYP,3G2UL9A02DEMZQQ6KVIMOINS0OG761,41,48,f,173,6,7,2.4,1,1,1,1,1,1,1,1,0.962962963,1,0,0,0,-0.037037037,0,1,1,1,0.981818182,1,1,poor behaviour,2,
A2VAL2BRKVSUB5,3XLBSAQ9Z4CON0AHM0FXLGGN5S87ZN,42,41,m,214,2,2,2.5,1,0.909090909,1,0.272727273,0.947368421,0.9,1,1,0.529411765,1,-0.1,0.090909091,0,0.256684492,0.052631579,0.98245614,0.944444444,1,0.515151515,0.972222222,0,do not exclude,2,That was a fun experiment
A3ROADR7T6811,3LEP4MGT3G08MB8B7Z2GZQJG00HDB8,43,27,m,276,6,8,2.7,1,1,0.875,0,0.947368421,1,1,1,0.017241379,1,0,0,0.125,0.017241379,0.052631579,1,1,0.96,0.208333333,0.981132075,0,do not exclude,2,well it was a fun hit but it was longer than 30 mins tho
A1UQ4029LCS7,39PAAFCODM0UCE2EY6TV56V96E0VTU,44,39,f,336,2,3,2.8,0.984848485,0.1,0.117647059,0,0.108108108,1,0.214285714,0.875,0.017241379,0.566666667,0.015151515,0.114285714,0.757352941,0.017241379,0.458558559,0.987654321,0.147058824,0.484848485,0.173469388,0.313432836,0,do not exclude,2,"This HIT took me nearly an hour, the pay was abysmal. I'm disappointed I wasted my time, to be honest."
