age,gender,n_trials,n_force_wrong,n_missed,bonus_payment,percent_accept_A1,percent_accept_A2,percent_accept_A3,percent_accept_A4,percent_accept_A2_A3,percent_accept_B1,percent_accept_B2,percent_accept_B3,percent_accept_B4,percent_accept_B2_B3,percent_accept_B1_min_A1,percent_accept_B2_min_A2,percent_accept_B3_min_A3,percent_accept_B4_min_A4,percent_accept_B2_B3_min_A2_A3,percent_accept_AB1,percent_accept_AB2,percent_accept_AB3,percent_accept_AB4,percent_accept_AB2_AB3,order_condition,liks,intercept,beta,learning_rate_reward_raw,learning_rate_reward_transformed,learning_rate_delay_raw,learning_rate_delay_transformed
30,m,284,1,1,2.7,1.0,0.071428571,0.117647059,0.0,0.096774194,1.0,0.857142857,1.0,0.022727273,0.9375,0.0,0.785714286,0.882352941,0.022727273,0.840725806,1.0,0.333333333,0.423076923,0.225,0.382978723,1,48.25829284893822,-0.6186974777656855,0.09378970665903581,-1.6474142098720577,0.049736468287938596,-1.800772486223,0.035869373590836195
40,f,255,1,1,2.4,1.0,0.0,1.0,0.111111111,0.45,0.785714286,0.166666667,1.0,0.037735849,0.583333333,-0.214285714,0.166666667,0.0,-0.073375262,0.133333333,0.942307692,0.086956522,1.0,0.108433735,0.522727273,2,60.81720542908682,2.848013826071323,0.0834257356593305,-2.123827397347054,0.016842289577487346,-1.5498103758299233,0.060593517953691334
30,m,333,2,4,2.8,1.0,0.235294118,0.117647059,0.05,0.176470588,1.0,0.733333333,0.647058824,0.0,0.6875,0.0,0.498039216,0.529411765,-0.05,0.511029412,1.0,0.46875,0.382352941,0.19047619,0.424242424,1,82.02582105855964,-0.6160376103354004,0.06346259615961669,-1.4174693033275787,0.07817288148616525,-1.7177252648162449,0.042923369396588806
29,f,350,5,8,2.8,0.987012987,0.95,0.052631579,0.0,0.512820513,0.933333333,0.944444444,0.8,0.016666667,0.878787879,-0.053679654,-0.005555556,0.747368421,0.016666667,0.365967366,0.97826087,0.947368421,0.382352941,0.178217822,0.680555556,2,74.06778071808077,-2.941361118043974,0.04884793401034759,-1.4630267619750172,0.07173002809692591,-2.1541323314615775,0.015614897841833564
42,m,301,0,4,2.8,1.0,0.428571429,0.882352941,0.25,0.677419355,0.933333333,0.785714286,0.933333333,0.017241379,0.862068966,-0.066666667,0.357142857,0.050980392,-0.232758621,0.184649611,0.986486486,0.607142857,0.90625,0.244680851,0.766666667,1,86.43630670264196,0.5031720943706621,0.08019825798568796,-1.8933928673992582,0.02915282162920174,-1.695589371996937,0.04498183595185512
36,male,321,2,12,2.7,0.985507246,0.071428571,0.0,0.0,0.03125,1.0,0.4,0.785714286,0.016129032,0.586206897,0.014492754,0.328571429,0.785714286,0.016129032,0.554956897,0.988095238,0.24137931,0.34375,0.158415842,0.295081967,2,60.24586513440552,-0.5915553013879716,0.08002869094157997,-1.6855557128258316,0.04594070271991241,-2.031509621195237,0.021101662275652966
42,m,327,4,2,2.8,0.985074627,0.375,0.071428571,0.0,0.233333333,0.933333333,0.882352941,0.909090909,0.036363636,0.892857143,-0.051741294,0.507352941,0.837662338,0.036363636,0.65952381,0.975609756,0.636363636,0.44,0.135416667,0.551724138,2,59.125730179427826,-1.3684312065636133,0.07800747043273676,-1.8498174897842647,0.03216992959199616,-2.188010371058309,0.014334423439365473
28,m,344,2,2,2.8,0.963855422,0.043478261,0.047619048,0.0,0.045454545,1.0,0.692307692,0.846153846,0.0,0.769230769,0.036144578,0.648829431,0.798534799,0.0,0.723776224,0.969072165,0.277777778,0.352941176,0.031578947,0.314285714,1,59.67519130474285,0.6132563454075474,0.08055738292447782,-1.9088800452031067,0.028138783888797037,-2.102996434910689,0.01773304056593067
38,m,322,1,1,2.8,1.0,0.611111111,0.157894737,0.0,0.378378378,1.0,1.0,1.0,0.054545455,1.0,0.0,0.388888889,0.842105263,0.054545455,0.621621622,1.0,0.75862069,0.567567568,0.139784946,0.651515152,2,56.663483177000664,-1.9857765276849686,0.08201352813517414,-2.1619168217394154,0.015312294068435373,-2.446259894258457,0.007217345333347669
35,Male,343,2,5,2.8,0.985915493,1.0,0.055555556,0.055555556,0.5,1.0,0.684210526,0.470588235,0.027777778,0.583333333,0.014084507,-0.315789474,0.41503268,-0.027777778,0.083333333,0.989010989,0.828571429,0.257142857,0.160714286,0.542857143,2,70.42171553262976,-2.959891092656945,0.05056385359383631,-1.561958218630506,0.0591489159751345,-2.2627473962767235,0.01182563264863673
