sub,liks
1,51.06926751
2,52.86695498
3,77.18747569
4,79.29476443
5,78.1880821
6,57.68328188
9,53.90418
11,62.0215879
12,56.43923992
13,72.56606477
14,93.60482535
17,66.85622129
18,94.3358819
19,52.37752532
20,84.42470398
21,66.62724057
22,60.26522458
24,72.02888184
28,44.74289838
29,116.6102521
31,44.38337718
32,90.95206845
34,38.95391763
37,50.39264839
42,48.44829144
43,28.21841261
44,64.31502455
45,61.03977203
46,62.49973249
47,84.72293676
48,47.22174541
49,114.938991
50,58.94431944
51,64.88308722
52,50.33678941
57,24.96185659
58,81.58923057
59,90.26321366
